comune,year,month,t_mean
Aquino,2025,9,22.12
Aquino,2025,10,16.32
Aquino,2025,11,12.05
Aquino,2025,12,9.15
Aquino,2026,1,8.75
Aquino,2026,2,11.06
Aquino,2026,3,11.68
Aquino,2026,4,16.28
Aquino,2026,5,18.91
Aquino,2026,6,24.18
Arpino,2011,1,2.03
Arpino,2011,2,2.05
Arpino,2011,3,4.03
Arpino,2011,4,7.51
Arpino,2011,5,12.88
Arpino,2011,6,17.95
Arpino,2011,7,19.5
Arpino,2011,8,21.83
Arpino,2011,9,19.18
Arpino,2011,10,11.93
Arpino,2011,11,7.37
Arpino,2011,12,4.41
Arpino,2012,1,2.18
Arpino,2012,2,-0.7
Arpino,2012,3,8.44
Arpino,2012,4,10.01
Arpino,2012,5,13.29
Arpino,2012,6,20.4
Arpino,2012,7,23.02
Arpino,2012,8,23.66
Arpino,2012,9,17.59
Arpino,2012,10,13.25
Arpino,2012,11,9.27
Arpino,2012,12,2.55
Arpino,2013,1,2.71
Arpino,2013,2,2.0
Arpino,2013,3,6.55
Arpino,2013,4,11.33
Arpino,2013,5,12.94
Arpino,2013,6,16.92
Arpino,2013,7,20.1
Arpino,2013,8,21.23
Arpino,2013,9,16.75
Arpino,2013,10,14.01
Arpino,2013,11,7.64
Arpino,2013,12,3.84
Arpino,2014,1,4.81
Arpino,2014,2,6.26
Arpino,2014,3,4.45
Arpino,2014,4,9.77
Arpino,2014,5,12.59
Arpino,2014,6,17.71
Arpino,2014,7,18.6
Arpino,2014,8,20.01
Arpino,2014,9,16.38
Arpino,2014,10,13.44
Arpino,2014,11,10.07
Arpino,2014,12,4.2
Arpino,2015,1,3.3
Arpino,2015,2,2.64
Arpino,2015,3,6.48
Arpino,2015,4,10.02
Arpino,2015,5,14.8
Arpino,2015,6,18.01
Arpino,2015,7,23.4
Arpino,2015,8,21.62
Arpino,2015,9,17.39
Arpino,2015,10,12.18
Arpino,2015,11,8.38
Arpino,2015,12,4.55
Arpino,2016,1,3.77
Arpino,2016,2,6.76
Arpino,2016,3,6.58
Arpino,2016,4,12.29
Arpino,2016,5,13.35
Arpino,2016,6,17.66
Arpino,2016,7,21.63
Arpino,2016,8,20.64
Arpino,2016,9,16.29
Arpino,2016,10,12.14
Arpino,2016,11,7.76
Arpino,2016,12,3.55
Arpino,2017,1,-0.53
